outlet,url,fetch_status,parse_error,discovery_channels
pravda,https://www.pravda.com.ua/news/2023/05/15/7402331/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402357/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402359/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402363/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402365/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402368/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402380/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402389/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402399/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402403/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402406/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402413/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402414/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402421/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402422/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402444/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402450/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402459/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402481/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/16/7402486/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402588/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402596/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402605/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402606/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402609/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402613/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402615/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402623/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402631/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402637/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402638/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402662/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402676/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402681/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402683/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/17/7402684/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402698/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402707/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402708/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402729/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402765/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402772/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402774/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402781/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402797/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402824/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402835/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/18/7402860/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/19/7402867/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/19/7402868/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/19/7402978/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/19/7402990/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/19/7403016/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/19/7403018/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/19/7403019/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/19/7403030/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/20/7403040/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/20/7403047/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/20/7403053/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/20/7403078/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/20/7403085/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/20/7403097/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/20/7403110/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/20/7403116/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/20/7403117/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/20/7403126/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/21/7403131/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/21/7403145/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/21/7403150/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/21/7403153/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/21/7403157/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/21/7403187/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/21/7403191/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/21/7403201/,429,,day_archive
pravda,https://www.pravda.com.ua/news/2023/05/22/7403225/,429,,day_archive
