id,url,period,rubric
a21d92da4819e92e,https://www.ukrinform.ua/rubric-ato/3803737-u-zitomiri-silam-oboroni-peredali-partiu-pozaslahovikiv-ta-fpvdroniv.html,P1,rubric-ato
b16b1d7d6e291ed0,https://www.ukrinform.ua/rubric-ato/3804731-na-misca-strokovikiv-maut-prijti-mobilizovani-deputat-kostenko.html,P1,rubric-ato
aa4d50488196ceff,https://www.ukrinform.ua/rubric-ato/3805380-zsu-posilili-budivnictvo-fortifikacijnih-sporud-na-tavrijskomu-napramku.html,P1,rubric-ato
c031cd5dd04b5be0,https://www.ukrinform.ua/rubric-ato/3811675-vorog-atakuvav-dnipropetrovsinu-v-dvoh-rajonah-culi-vibuhi.html,P1,rubric-ato
74350b87b8927eb7,https://www.ukrinform.ua/rubric-ato/3817066-vorog-posilue-zastosuvanna-artilerii-ta-droniv-na-pivdni-ukraini-gumenuk.html,P1,rubric-ato
240a3b179bd1bb53,https://www.ukrinform.ua/rubric-ato/3826266-dodaemo-bilse-mozlivostej-mobilnim-vognevim-grupam-zelenskij.html,P1,rubric-ato
5f5e7e887ba56792,https://www.ukrinform.ua/rubric-ato/3828076-v-avdiivci-tocatsa-zapekli-boi-vorog-sturmue-z-kilkoh-napramkiv-tarnavskij.html,P1,rubric-ato
8ab90343a133e7ea,https://www.ukrinform.ua/rubric-ato/3828264-rosijski-vijska-obstriluut-harkivsinu.html,P1,rubric-ato
52058887404dfd1d,https://www.ukrinform.ua/rubric-ato/3832145-zelenskij-zaaviv-so-pidgotovka-oboronnih-rubeziv-vidpovidalnist-golovkoma-ta-ministra-oboroni.html,P1,rubric-ato
96c35730ac4cf3b2,https://www.ukrinform.ua/rubric-ato/3841966-vijskovij-rozpoviv-cim-motivovanij-vorog-i-pro-so-zabuvaut-ukrainci.html,P1,rubric-ato
d466f3e50b894f1d,https://www.ukrinform.ua/rubric-ato/3845275-agencia-oboronnih-zakupivel-pridbae-4-tisaci-droniv-za-ramkovou-ugodou-iz-prozorro.html,P1,rubric-ato
af552f189d108538,https://www.ukrinform.ua/rubric-ato/3845586-ppo-vnoci-znisila-26-iz-28-dronivkamikadze-akimi-atakuvala-rf.html,P1,rubric-ato
eb2fdc6e3505dc5a,https://www.ukrinform.ua/rubric-ato/3846535-nastup-na-harkiv-neposilne-zavdanna-dla-voroga.html,P1,rubric-ato
